street_name,Latitude,Longitude
MOH GUAN TER,1.2837705,103.8309072
157 CORPORATION DRIVE,1.3315077,103.7234635
BEACH RD,1.3030517,103.86226690000001
ST. GEORGE'S LANE,1.3229841999999998,103.86221640000001
BENDEMEER RD,1.3204862,103.8651583
HAVELOCK RD,1.2887393999999999,103.8296898
CRAWFORD LANE,1.3054635,103.86209079999999
FARRER PK RD,1.3112149,103.850515
GEYLANG BAHRU,1.3246712999999999,103.8682501
JALAN BAHAGIA,1.3248947,103.8590618
JALAN BATU,1.3018778,103.8821697
KALLANG BAHRU,1.3211072,103.871315
HENDERSON CRES,1.2890964,103.8220094
BUKIT PURMEI RD,1.273715,103.8259825
KIM TIAN RD,1.284659,103.8294426
DEPOT RD,1.2813267,103.80232020000001
JALAN RUMAH TINGGI,1.2890059,103.8091828
DELTA AVE,1.2921536,103.826064
JALAN MEMBINA,1.2827349,103.82621
REDHILL RD,1.2878113000000002,103.81468170000001
KING GEORGE'S AVE,1.3068912,103.8587564
LORONG LIMAU,1.3239864,103.85516190000001
RACE COURSE RD,1.3119816,103.8531973
ST. GEORGE'S RD,1.3220413999999998,103.86330240000001
UPPER BOON KENG RD,1.3143707,103.8723573
WHAMPOA DRIVE,1.3225393,103.85271209999999
WHAMPOA WEST,1.3198991000000002,103.864694
BOON KENG RD,1.3167366000000003,103.8627914
CAMBRIDGE RD,1.3133475000000001,103.84684159999999
JALAN DUSUN,1.3285374,103.8439082
JALAN TENTERAM,1.3277402,103.86150699999999
KENT RD,1.3155834,103.8513658
LORONG 3 GEYLANG,1.3150777,103.87303940000001
MCNAIR RD,1.3203268999999997,103.858769
LENGKOK BAHRU,1.2882046,103.8148748
ZION RD,1.2924625,103.8303923
PUNGGOL PL,1.4009352,103.9016799
PUNGGOL RD,1.4188048,103.9099297
JALAN RAJAH,1.3267343,103.8477245
WHAMPOA RD,1.3268799999999998,103.8552135
MARINE CRES,1.305915,103.9135853
MARINE DRIVE,1.30322795,103.90865671994136
MARINE TER,1.3049790000000001,103.9169381
CHANGI VILLAGE RD,1.3902802,103.98670290000001
PASIR RIS DRIVE 10,1.3777704,103.93687790000001
PASIR RIS DRIVE 3,1.3825888000000002,103.9383875
PASIR RIS DRIVE 4,1.370092,103.9606297
PASIR RIS DRIVE 6,1.3713013,103.956935
PASIR RIS ST 11,1.3647391000000002,103.9618619
PASIR RIS ST 12,1.3666817,103.9588811
PASIR RIS ST 13,1.3635221000000002,103.9610667
PASIR RIS ST 21,1.3666341,103.9637819
PASIR RIS ST 51,1.3674829,103.9512963
PASIR RIS ST 53,1.3736297,103.9478921
PASIR RIS ST 71,1.378688,103.9355906
ELIAS RD,1.3733385,103.94033309999999
PASIR RIS DRIVE 1,1.3787966999999999,103.9357743
PASIR RIS ST 52,1.3742923999999999,103.9458083
PASIR RIS ST 41,1.3719583,103.9567043
PASIR RIS ST 72,1.3806409,103.9361115
PUNGGOL CENTRAL,1.3980923,103.91284449999999
PUNGGOL WALK,1.4075073,103.9013813
EDGEDALE PLAINS,1.3983983,103.9132116
EDGEFIELD PLAINS,1.3973615,103.906529
YISHUN ST 41,1.419735,103.8437297
PUNGGOL DRIVE,1.4019312,103.91339599999999
PUNGGOL EAST,1.3980396000000002,103.91874279999999
PUNGGOL FIELD,1.4033917,103.8967028
PETIR RD,1.373406,103.773404
PENDING RD,1.3758654,103.77098690000001
BANGKIT RD,1.3765962999999999,103.773409
SEGAR RD,1.388614,103.770767
JELAPANG RD,1.38525,103.7670148
SENJA RD,1.384611,103.76032070000001
FAJAR RD,1.3842446000000002,103.7703137
BUKIT PANJANG RING RD,1.384317,103.7624054
